REF_DATE,GEO,North American Industry Classification System (NAICS),UOM,VALUES
2001-04,Ontario,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],692.16
2001-04,Manitoba,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],578.98
2001-04,Saskatchewan,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],592.86
2001-04,Alberta,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],669.63
2001-04,British Columbia,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],654.01
2001-04,Yukon,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],721.21
2001-04,Northwest Territories,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],896.54
2001-04,Nunavut,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],857.57
2001-05,Canada,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],652.49
2001-05,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],583.32
2001-05,Prince Edward Island,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],520.64
2001-05,Nova Scotia,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],565.92
2001-05,New Brunswick,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],580.35
2001-05,Quebec,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],611.73
2001-05,Ontario,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],690.73
2001-05,Manitoba,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],580.36
2001-05,Saskatchewan,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],595.16
2001-05,Alberta,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],673.08
2001-05,British Columbia,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],662.24
2001-05,Yukon,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],719.23
2001-05,Northwest Territories,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],891.70
2001-05,Nunavut,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],853.94
2001-06,Canada,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],657.03
2001-06,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],589.63
2001-06,Prince Edward Island,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],525.64
2001-06,Nova Scotia,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],572.39
2001-06,New Brunswick,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],583.83
2001-06,Quebec,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],625.62
2001-06,Ontario,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],695.22
2001-06,Manitoba,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],585.13
2001-06,Saskatchewan,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],594.19
2001-06,Alberta,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],675.46
2001-06,British Columbia,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],656.62
2001-06,Yukon,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],707.74
2001-06,Northwest Territories,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],893.99
2001-06,Nunavut,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],865.68
